# conf-name,group-name,topo,ptf_image_name,ptf,ptf_ip,server,vm_base,dut,comment
r-leopard-01-t0,vm-t1,t0,docker-ptf-mlnx,ptf-r-leopard-01,10.215.22.61/16,server_15,VM1501,r-leopard-01,Mellanox MTR testbed
r-leopard-01-t0-16,vm-t1,t0-16,docker-ptf-mlnx,ptf-r-leopard-01,10.215.22.61/16,server_15,VM1501,r-leopard-01,Mellanox MTR testbed
r-leopard-01-t1,vm-t1,t1,docker-ptf-mlnx,ptf-r-leopard-01,10.215.22.61/16,server_15,VM1501,r-leopard-01,Mellanox MTR testbed
r-leopard-01-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,ptf-r-leopard-01,10.215.22.61/16,server_15,VM1501,r-leopard-01,Mellanox MTR testbed
r-leopard-01-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-r-leopard-01,10.215.22.61/16,server_15,VM1501,r-leopard-01,Mellanox MTR testbed

arc-mtbc-1001-t0,vm-t1,t0,docker-ptf-mlnx,ptf-mtbc01,10.112.206.220/24,server_5,VM0501,arc-mtbc-1001,Mellanox MTBC testbed
arc-mtbc-1001-t1,vm-t1,t1,docker-ptf-mlnx,ptf-mtbc01,10.112.206.220/24,server_5,VM0501,arc-mtbc-1001,Mellanox MTBC testbed
arc-mtbc-1001-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,ptf-mtbc01,10.112.206.220/24,server_5,VM0501,arc-mtbc-1001,Mellanox MTBC testbed
arc-mtbc-1001-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-mtbc01,10.112.206.220/24,server_5,VM0501,arc-mtbc-1001,Mellanox MTBC testbed

mtbc-sonic-01-2410-t0,vm-t1,t0,docker-ptf-mlnx,ptf-mtbc02,10.112.207.41/24,server_8,VM0801,mtbc-sonic-01-2410,Mellanox MTBC testbed
mtbc-sonic-01-2410-t1,vm-t1,t1,docker-ptf-mlnx,ptf-mtbc02,10.112.207.41/24,server_8,VM0801,mtbc-sonic-01-2410,Mellanox MTBC testbed
mtbc-sonic-01-2410-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,ptf-mtbc02,10.112.207.41/24,server_8,VM0801,mtbc-sonic-01-2410,Mellanox MTBC testbed
mtbc-sonic-01-2410-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-mtbc02,10.112.207.41/24,server_8,VM0801,mtbc-sonic-01-2410,Mellanox MTBC testbed

mtbc-sonic-03-2700-t0,vm-t1,t0,docker-ptf-mlnx,ptf-mtbc03,10.112.207.38/24,server_10,VM1001,mtbc-sonic-03-2700,Mellanox MTBC testbed
mtbc-sonic-03-2700-t1,vm-t1,t1,docker-ptf-mlnx,ptf-mtbc03,10.112.207.38/24,server_10,VM1001,mtbc-sonic-03-2700,Mellanox MTBC testbed
mtbc-sonic-03-2700-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,ptf-mtbc03,10.112.207.38/24,server_10,VM1001,mtbc-sonic-03-2700,Mellanox MTBC testbed
mtbc-sonic-03-2700-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-mtbc03,10.112.207.38/24,server_10,VM1001,mtbc-sonic-03-2700,Mellanox MTBC testbed

dev-r-vrt-233-010-t0,vms6-1,t0,docker-ptf-mlnx,ptf-233-010,10.212.233.9/16,server_52,VM5201,dev-r-vrt-233-010,Mellanox virtual SID testbed
dev-r-vrt-233-010-ptf32,vms6-1,ptf32,docker-ptf-mlnx,ptf-233-010,10.212.233.9/16,server_52,VM5201,dev-r-vrt-233-010,Mellanox virtual SID testbed
dev-r-vrt-232-010-t0,vms6-2,t0,docker-ptf-mlnx,ptf-232-010,10.212.232.9/16,server_50,VM5001,dev-r-vrt-232-010,Mellanox virtual SID testbed
dev-r-vrt-232-010-ptf32,vms6-2,ptf32,docker-ptf-mlnx,ptf-232-010,10.212.232.9/16,server_50,VM5001,dev-r-vrt-232-010,Mellanox virtual SID testbed

mtbc-3700c-01-t0,vm-t1,t0,docker-ptf-mlnx,ptf-mtbc04,10.112.205.201/24,server_14,VM1401,mtbc-3700c-01,Mellanox MTBC testbed
mtbc-3700c-01-t1,vm-t1,t1,docker-ptf-mlnx,ptf-mtbc04,10.112.205.201/24,server_14,VM1401,mtbc-3700c-01,Mellanox MTBC testbed
mtbc-3700c-01-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,ptf-mtbc04,10.112.205.201/24,server_14,VM1401,mtbc-3700c-01,Mellanox MTBC testbed
mtbc-3700c-01-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-mtbc04,10.112.205.201/24,server_14,VM1401,mtbc-3700c-01,Mellanox MTBC testbed

arc-switch1029-fastreboot,ptf-1029,t0,vm-t1,ptf-1029,10.213.84.98/16,server_4,VM0401,arc-switch1029,Mellanox MTR testbed
