StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
arc-switch1038,Ethernet36,arc-switch1007,Ethernet10,40000,1690,Access
arc-switch1038,Ethernet40,arc-switch1007,Ethernet11,40000,1691,Access
arc-switch1038,Ethernet44,arc-switch1007,Ethernet12,40000,1692,Access
arc-switch1038,Ethernet48,arc-switch1007,Ethernet13,40000,1693,Access
arc-switch1038,Ethernet52,arc-switch1007,Ethernet14,40000,1694,Access
arc-switch1038,Ethernet56,arc-switch1007,Ethernet15,40000,1695,Access
arc-switch1038,Ethernet60,arc-switch1007,Ethernet16,40000,1696,Access
arc-switch1038,Ethernet64,arc-switch1007,Ethernet17,40000,1697,Access
arc-switch1038,Ethernet68,arc-switch1007,Ethernet18,40000,1698,Access
arc-switch1038,Ethernet72,arc-switch1007,Ethernet19,40000,1699,Access
arc-switch1038,Ethernet76,arc-switch1007,Ethernet20,40000,1700,Access
arc-switch1038,Ethernet80,arc-switch1007,Ethernet21,40000,1701,Access
arc-switch1038,Ethernet84,arc-switch1007,Ethernet22,40000,1702,Access
arc-switch1038,Ethernet88,arc-switch1007,Ethernet23,40000,1703,Access
arc-switch1038,Ethernet92,arc-switch1007,Ethernet24,40000,1704,Access
arc-switch1038,Ethernet96,arc-switch1007,Ethernet25,40000,1705,Access
arc-switch1038,Ethernet100,arc-switch1007,Ethernet26,40000,1706,Access
arc-switch1038,Ethernet104,arc-switch1007,Ethernet27,40000,1707,Access
arc-switch1038,Ethernet108,arc-switch1007,Ethernet28,40000,1708,Access
arc-switch1038,Ethernet112,arc-switch1007,Ethernet29,40000,1709,Access
arc-switch1038,Ethernet116,arc-switch1007,Ethernet30,40000,1710,Access
arc-switch1038,Ethernet120,arc-switch1007,Ethernet31,40000,1711,Access
arc-switch1038,Ethernet124,arc-switch1007,Ethernet32,40000,1712,Access

arc-switch1025,Ethernet0,arc-switch1035,Ethernet1,40000,1681,Access
arc-switch1025,Ethernet4,arc-switch1035,Ethernet2,40000,1682,Access
arc-switch1025,Ethernet8,arc-switch1035,Ethernet3,40000,1683,Access
arc-switch1025,Ethernet12,arc-switch1035,Ethernet4,40000,1684,Access
arc-switch1025,Ethernet16,arc-switch1035,Ethernet5,40000,1685,Access
arc-switch1025,Ethernet20,arc-switch1035,Ethernet6,40000,1686,Access
arc-switch1025,Ethernet24,arc-switch1035,Ethernet7,40000,1687,Access
arc-switch1025,Ethernet28,arc-switch1035,Ethernet8,40000,1688,Access
arc-switch1025,Ethernet32,arc-switch1035,Ethernet9,40000,1689,Access
arc-switch1025,Ethernet36,arc-switch1035,Ethernet10,40000,1690,Access
arc-switch1025,Ethernet40,arc-switch1035,Ethernet11,40000,1691,Access
arc-switch1025,Ethernet44,arc-switch1035,Ethernet12,40000,1692,Access
arc-switch1025,Ethernet48,arc-switch1035,Ethernet13,40000,1693,Access
arc-switch1025,Ethernet52,arc-switch1035,Ethernet14,40000,1694,Access
arc-switch1025,Ethernet56,arc-switch1035,Ethernet15,40000,1695,Access
arc-switch1025,Ethernet60,arc-switch1035,Ethernet16,40000,1696,Access
arc-switch1025,Ethernet64,arc-switch1035,Ethernet17,40000,1697,Access
arc-switch1025,Ethernet68,arc-switch1035,Ethernet18,40000,1698,Access
arc-switch1025,Ethernet72,arc-switch1035,Ethernet19,40000,1699,Access
arc-switch1025,Ethernet76,arc-switch1035,Ethernet20,40000,1700,Access
arc-switch1025,Ethernet80,arc-switch1035,Ethernet21,40000,1701,Access
arc-switch1025,Ethernet84,arc-switch1035,Ethernet22,40000,1702,Access
arc-switch1025,Ethernet88,arc-switch1035,Ethernet23,40000,1703,Access
arc-switch1025,Ethernet92,arc-switch1035,Ethernet24,40000,1704,Access
arc-switch1025,Ethernet96,arc-switch1035,Ethernet25,40000,1705,Access
arc-switch1025,Ethernet100,arc-switch1035,Ethernet26,40000,1706,Access
arc-switch1025,Ethernet104,arc-switch1035,Ethernet27,40000,1707,Access
arc-switch1025,Ethernet108,arc-switch1035,Ethernet28,40000,1708,Access
arc-switch1025,Ethernet112,arc-switch1035,Ethernet29,40000,1709,Access
arc-switch1025,Ethernet116,arc-switch1035,Ethernet30,40000,1710,Access
arc-switch1025,Ethernet120,arc-switch1035,Ethernet31,40000,1711,Access
arc-switch1025,Ethernet124,arc-switch1035,Ethernet32,40000,1712,Access

mts-sonic-dut,Ethernet0,mts-sonic-fanout,Ethernet1,100000,1681,Access
mts-sonic-dut,Ethernet4,mts-sonic-fanout,Ethernet2,100000,1682,Access
mts-sonic-dut,Ethernet8,mts-sonic-fanout,Ethernet3,100000,1683,Access
mts-sonic-dut,Ethernet12,mts-sonic-fanout,Ethernet4,100000,1684,Access
mts-sonic-dut,Ethernet16,mts-sonic-fanout,Ethernet5,100000,1685,Access
mts-sonic-dut,Ethernet20,mts-sonic-fanout,Ethernet6,100000,1686,Access
mts-sonic-dut,Ethernet24,mts-sonic-fanout,Ethernet7,100000,1687,Access
mts-sonic-dut,Ethernet28,mts-sonic-fanout,Ethernet8,100000,1688,Access
mts-sonic-dut,Ethernet32,mts-sonic-fanout,Ethernet9,100000,1689,Access
mts-sonic-dut,Ethernet36,mts-sonic-fanout,Ethernet10,100000,1690,Access
mts-sonic-dut,Ethernet40,mts-sonic-fanout,Ethernet11,100000,1691,Access
mts-sonic-dut,Ethernet44,mts-sonic-fanout,Ethernet12,100000,1692,Access
mts-sonic-dut,Ethernet48,mts-sonic-fanout,Ethernet13,100000,1693,Access
mts-sonic-dut,Ethernet52,mts-sonic-fanout,Ethernet14,100000,1694,Access
mts-sonic-dut,Ethernet56,mts-sonic-fanout,Ethernet15,100000,1695,Access
mts-sonic-dut,Ethernet60,mts-sonic-fanout,Ethernet16,100000,1696,Access
mts-sonic-dut,Ethernet64,mts-sonic-fanout,Ethernet17,100000,1697,Access
mts-sonic-dut,Ethernet68,mts-sonic-fanout,Ethernet18,100000,1698,Access
mts-sonic-dut,Ethernet72,mts-sonic-fanout,Ethernet19,100000,1699,Access
mts-sonic-dut,Ethernet76,mts-sonic-fanout,Ethernet20,100000,1700,Access
mts-sonic-dut,Ethernet80,mts-sonic-fanout,Ethernet21,100000,1701,Access
mts-sonic-dut,Ethernet84,mts-sonic-fanout,Ethernet22,100000,1702,Access
mts-sonic-dut,Ethernet88,mts-sonic-fanout,Ethernet23,100000,1703,Access
mts-sonic-dut,Ethernet92,mts-sonic-fanout,Ethernet24,100000,1704,Access
mts-sonic-dut,Ethernet96,mts-sonic-fanout,Ethernet25,100000,1705,Access
mts-sonic-dut,Ethernet100,mts-sonic-fanout,Ethernet26,100000,1706,Access
mts-sonic-dut,Ethernet104,mts-sonic-fanout,Ethernet27,100000,1707,Access
mts-sonic-dut,Ethernet108,mts-sonic-fanout,Ethernet28,100000,1708,Access
mts-sonic-dut,Ethernet112,mts-sonic-fanout,Ethernet29,100000,1709,Access
mts-sonic-dut,Ethernet116,mts-sonic-fanout,Ethernet30,100000,1710,Access
mts-sonic-dut,Ethernet120,mts-sonic-fanout,Ethernet31,50000,1711,Access
mts-sonic-dut,Ethernet124,mts-sonic-fanout,Ethernet32,50000,1712,Access
